﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
CHAPONVAL;87276162;DIM;2024-01-21;2024;H;H;De 10h à 16h;22
CHARS;87381194;JOB;2024-01-16;2024;J;J6;De 6h à 10h;209
CHAVILLE-RIVE-DROITE;87382333;JOB;2024-01-16;2024;L;L2;De 10h à 16h;758
CHELLES-GOURNAY;87116111;DIM;2022-03-20;2022;E;E;De 16h à 20h;1020
CHELLES-GOURNAY;87116111;DIM;2023-11-19;2023;P;P;De 16h à 20h;973
CHELLES-GOURNAY;87116111;SAM;2023-11-18;2023;P;P;De 6h à 10h;1359
CHEZY-SUR-MARNE;87116574;DIM;2023-09-17;2023;P;P;De 6h à 10h;8
CHILLY-MAZARIN;87393637;SAM;2024-11-30;2024;T12;T12;De 10h à 16h;288
CHOISY-LE-ROI;87545285;DIM;2025-09-02;2025;C;C;De 16h à 20h;2505
CLICHY-LEVALLOIS;87381129;JOB;2024-01-16;2024;L;L2;Avant 6h;56
CLICHY-SOUS-BOIS-MAIRIE;87704288;DIM;2021-12-09;2021;T4;T4;Avant 6h;4
COLOMBES;87381087;SAM;2024-01-20;2024;J;J4;De 10h à 16h;2872
COMBS-LA-VILLE-QUINCY;87682146;SAM;2024-02-03;2024;D;D;De 10h à 16h;1555
CONFLANS-FIN-D'OISE;87381459;DIM;2022-11-20;2022;A;A;De 16h à 20h;679
CONFLANS-FIN-D'OISE;87381459;JOB;2024-01-16;2024;J;J6;De 16h à 20h;1663
CONFLANS-FIN-D'OISE;87381459;JOB;2024-01-16;2024;J;J6;De 6h à 10h;830
CONFLANS-FIN-D'OISE;87381459;SAM;2022-11-19;2022;A;A;Avant 6h;62
CONFLANS-SAINTE-HONORINE;87381897;DIM;2024-01-21;2024;J;J6;De 16h à 20h;749
CORMEILLES-EN-PARISIS;87381863;DIM;2024-01-21;2024;J;J6;Après 20h;177
CORMEILLES-EN-PARISIS;87381863;SAM;2024-01-20;2024;J;J6;Après 20h;293
COURBEVOIE;87382200;DIM;2024-01-21;2024;L;L2;Après 20h;258
